"id","title","content","pub_date","source_url","category"
86,"The most expensive luxury homes and the wealthy Americans who own them","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/723c5aa9e8d1ad5ebaf66e99b0988bfe.jpg"" /><p>While record-high mortgage rates spooked potential buyers from purchasing homes last year, they haven’t raised fears in the mega-wealthy. More rich people are <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/americans-buying-houses-cash-redfin-1851216043"" rel=""noopener noreferrer"" target=""_blank"">buying luxury homes in cash</a>, and sales of homes over $100 million have <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.wsj.com/real-estate/luxury-homes/100-million-dollar-homes-8ee49b5e?mod=real-estate_lead_pos1"" rel=""noopener noreferrer"" target=""_blank"">risen substantially</a>.</p><p><a href=""https://qz.com/beyonce-jeff-bezos-most-expensive-luxury-homes-1851221618"">Read more...</a></p>","2024-02-03 10:00:00","https://qz.com/beyonce-jeff-bezos-most-expensive-luxury-homes-1851221618",NULL
87,"An Apple tease, Microsoft's cloud soars, Nvidia's big threat, and Taylor Swift deepfakes: The week in AI news","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/7b075fe4d4f83cbc237fa3070953ca96.jpg"" /><p>It was another busy week in artificial intelligence news, from word of a coming Apple announcement to Taylor Swift AI deepfakes taking over the internet.</p><p><a href=""https://qz.com/ai-news-apple-microsoft-nvidia-meta-openai-taylor-swift-1851221482"">Read more...</a></p>","2024-02-03 10:00:00","https://qz.com/ai-news-apple-microsoft-nvidia-meta-openai-taylor-swift-1851221482",NULL
88,"Weekend Tech Innovation Roundup February 03, 2024","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/43416d1b902084290ca9993c6ffda79f.jpg"" /><p>You want your lawyer to be on your side. The more passionate they are, the better. If they’re so passionate they can’t control their emotions, though, you might be in trouble. That’s exactly what happened to Elon Musk in a recent court case. Todd Maron, former General Counsel for Tesla and the billionaire’s former…</p><p><a href=""https://qz.com/weekend-tech-innovation-roundup-february-03-2024-1851220703"">Read more...</a></p>","2024-02-03 09:00:00","https://qz.com/weekend-tech-innovation-roundup-february-03-2024-1851220703",NULL
89,"Weekend Money Markets Roundup February 03, 2024","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/f2d5e63b56bc5e5abb12036f3749a042.jpg"" /><p>[<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/elon-musk-bernard-arnault-worlds-richest-person-1851207288"" rel=""noopener noreferrer"" target=""_blank"">Update: Elon Musk and Bernard Arnault keep taking turns as the world’s richest person</a>]</p><p><a href=""https://qz.com/weekend-money-markets-roundup-february-03-2024-1851220702"">Read more...</a></p>","2024-02-03 09:00:00","https://qz.com/weekend-money-markets-roundup-february-03-2024-1851220702",NULL
90,"Weekend Business News Roundup February 03, 2024","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/dbbb6c4a23d4839c9f4f38606c7bb30c.jpg"" /><p>Brenda Chunga, known online as “Bitcoin Beautee,” was the American face of an Australian Ponzi scheme called HyperFund.<br /></p><p><a href=""https://qz.com/weekend-business-news-roundup-february-03-2024-1851220701"">Read more...</a></p>","2024-02-03 09:00:00","https://qz.com/weekend-business-news-roundup-february-03-2024-1851220701",NULL
91,"Forget lowering interest rates and maybe raise them, Dallas Fed president says","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/2ea46d939cca0ad9862d0e7c789ba2b8.jpg"" /><p>For all the chatter and mysticism that surrounds the Federal Reserve and its immense power over the US economy, it really only has two tools to help guide the interest rates to where they need to be. </p><p><a href=""https://qz.com/dallas-fed-president-floats-raising-interest-rates-1851222041"">Read more...</a></p>","2024-02-03 00:06:11","https://qz.com/dallas-fed-president-floats-raising-interest-rates-1851222041",NULL
144,"New York City to hand out $53 million in pre-paid credit cards to migrant families: report","New York City will soon begin a $53 million pilot program to give migrant families staying at city hotels pre-paid credit cards for food and baby supplies.","2024-02-03 11:57:35","https://www.foxnews.com/politics/new-york-city-hand-53-million-pre-paid-credit-cards-migrant-families-report",NULL
191,"Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case'","The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.","2023-04-19 08:28:17","https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html",NULL
92,"ExxonMobil's CEO doesn't care about his growth plans annoying Saudi Arabia","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/f4318acaab560adebc4b7b819fc66449.jpg"" /><p>ExxonMobil’s earnings <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/exxon-overcomes-hefty-charge-and-falling-crude-prices-i-1851219569"" rel=""noopener noreferrer"" target=""_blank"">came in better than expected </a>on Friday (Feb. 2). Quarterly profits were a healthy $7.6 billion, although revenues of $84.3 billion missed forecasts. But the world’s largest oil company not run by the Saudi Arabian or Chinese governments is always looking to get bigger.</p><p><a href=""https://qz.com/exxonmobils-ceo-lays-out-plans-to-ramp-up-production-e-1851221353"">Read more...</a></p>","2024-02-03 00:04:42","https://qz.com/exxonmobils-ceo-lays-out-plans-to-ramp-up-production-e-1851221353",NULL
93,"Big tech companies had big layoffs. Then they saw big profits","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/2ac1445407248c8a88ee7008cb4e878b.jpg"" /><p>In the last year, tech giants made massive cuts to their workforce, which didn’t just please investors — they led to sky-high profits. Meta, for instance, saw its net income soar 201%  in the last three months of 2023, from $4.65 billion to $14.02 billion.</p><p><a href=""https://qz.com/big-tech-companies-had-big-layoffs-then-they-saw-big-p-1851221293"">Read more...</a></p>","2024-02-02 21:36:44","https://qz.com/big-tech-companies-had-big-layoffs-then-they-saw-big-p-1851221293",NULL
